impl,kernel,shape,batch,n_heads,d_k,d_v,block_v,n_blocks,iter,gpu_ms,gbps,gflops
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,0,0.006272,21.227,15.673
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,1,0.004256,31.282,23.098
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,2,0.005632,23.639,17.455
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,3,0.004448,29.932,22.101
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,4,0.011520,11.557,8.533
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,5,0.004096,32.504,24.000
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,6,0.005152,25.842,19.081
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,7,0.004928,27.016,19.948
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,8,0.011840,11.245,8.303
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,9,0.004576,29.094,21.483
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,10,0.011776,11.306,8.348
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,11,0.004256,31.282,23.098
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,12,0.005728,23.243,17.162
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,13,0.005696,23.374,17.258
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,14,0.005664,23.506,17.356
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,15,0.004480,29.718,21.943
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,16,0.005088,26.167,19.321
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,17,0.025856,5.149,3.802
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,18,0.005440,24.474,18.071
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,19,0.005312,25.063,18.506
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,20,0.006432,20.699,15.284
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,21,0.005952,22.368,16.516
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,22,0.004384,30.369,22.423
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,23,0.005120,26.003,19.200
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,24,0.005632,23.639,17.455
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,25,0.005056,26.332,19.443
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,26,0.004704,28.303,20.898
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,27,0.005024,26.500,19.567
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,28,0.004224,31.519,23.273
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,29,0.004992,26.670,19.692
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,30,0.004864,27.372,20.211
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,31,0.012192,10.920,8.063
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,32,0.005056,26.332,19.443
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,33,0.004800,27.737,20.480
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,34,0.030048,4.431,3.272
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,35,0.004896,27.193,20.078
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,36,0.005280,25.215,18.618
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,37,0.011488,11.589,8.557
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,38,0.004512,29.507,21.787
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,39,0.005056,26.332,19.443
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,40,0.005344,24.913,18.395
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,41,0.004480,29.718,21.943
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,42,0.004800,27.737,20.480
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,43,0.004928,27.016,19.948
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,44,0.005728,23.243,17.162
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,45,0.004160,32.004,23.631
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,46,0.004960,26.842,19.819
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,47,0.005280,25.215,18.618
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,48,0.005440,24.474,18.071
cuda-attn-gdn-tma,gdn_decode_tma,tiny,1,4,64,64,64,4,49,0.005536,24.049,17.757
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,0,0.006784,155.778,115.925
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,1,0.004896,215.850,160.627
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,2,0.006784,155.778,115.925
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,3,0.006272,168.495,125.388
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,4,0.006880,153.605,114.307
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,5,0.005728,184.497,137.296
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,6,0.014336,73.717,54.857
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,7,0.006496,162.685,121.064
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,8,0.006112,172.906,128.670
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,9,0.004864,217.270,161.684
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,10,0.006912,152.894,113.778
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,11,0.008096,130.534,97.138
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,12,0.007168,147.433,109.714
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,13,0.007328,144.214,107.319
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,14,0.007904,133.704,99.498
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,15,0.007392,142.965,106.390
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,16,0.006432,164.303,122.269
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,17,0.006336,166.793,124.121
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,18,0.006816,155.047,115.380
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,19,0.004960,213.065,158.555
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,20,0.004864,217.270,161.684
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,21,0.006720,157.262,117.029
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,22,0.007072,149.434,111.204
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,23,0.013696,77.161,57.421
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,24,0.006528,161.887,120.471
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,25,0.006272,168.495,125.388
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,26,0.007296,144.846,107.789
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,27,0.005440,194.265,144.565
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,28,0.012992,81.342,60.532
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,29,0.004896,215.850,160.627
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,30,0.006752,156.517,116.474
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,31,0.008224,128.502,95.626
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,32,0.005504,192.006,142.884
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,33,0.006144,172.005,128.000
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,34,0.007456,141.738,105.476
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,35,0.005536,190.896,142.058
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,36,0.006336,166.793,124.121
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,37,0.004928,214.448,159.584
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,38,0.006240,169.359,126.031
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,39,0.006624,159.541,118.725
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,40,0.006208,170.232,126.680
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,41,0.005056,209.019,155.544
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,42,0.006912,152.894,113.778
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,43,0.006528,161.887,120.471
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,44,0.007200,146.778,109.227
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,45,0.007616,138.761,103.261
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,46,0.007264,145.485,108.264
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,47,0.006752,156.517,116.474
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,48,0.006368,165.955,123.497
cuda-attn-gdn-tma,gdn_decode_tma,small,1,8,128,128,64,16,49,0.007392,142.965,106.390
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,0,0.074496,1808.728,1351.258
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,1,0.089728,1501.683,1121.872
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,2,0.075072,1794.851,1340.890
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,3,0.078016,1727.121,1290.290
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,4,0.080064,1682.942,1257.285
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,5,0.078944,1706.818,1275.123
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,6,0.081120,1661.034,1240.918
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,7,0.076480,1761.808,1316.204
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,8,0.080320,1677.578,1253.278
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,9,0.078656,1713.067,1279.792
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,10,0.080096,1682.269,1256.783
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,11,0.077888,1729.959,1292.411
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,12,0.078464,1717.259,1282.923
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,13,0.080640,1670.921,1248.305
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,14,0.079968,1684.962,1258.795
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,15,0.077856,1730.670,1292.942
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,16,0.079904,1686.312,1259.803
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,17,0.079648,1691.732,1263.852
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,18,0.079264,1699.927,1269.975
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,19,0.080000,1684.288,1258.291
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,20,0.080288,1678.246,1253.778
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,21,0.078880,1708.203,1276.157
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,22,0.080704,1669.595,1247.315
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,23,0.080224,1679.585,1254.778
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,24,0.079136,1702.677,1272.029
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,25,0.087520,1539.568,1150.175
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,26,0.080864,1666.292,1244.847
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,27,0.079648,1691.732,1263.852
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,28,0.080704,1669.595,1247.315
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,29,0.077888,1729.959,1292.411
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,30,0.080000,1684.288,1258.291
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,31,0.078560,1715.161,1281.356
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,32,0.080928,1664.974,1243.862
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,33,0.078144,1724.292,1288.177
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,34,0.080576,1672.248,1249.296
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,35,0.078400,1718.661,1283.971
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,36,0.078240,1722.176,1286.596
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,37,0.080512,1673.577,1250.289
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,38,0.079168,1701.989,1271.515
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,39,0.080800,1667.612,1245.833
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,40,0.080160,1680.926,1255.780
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,41,0.080000,1684.288,1258.291
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,42,0.079968,1684.962,1258.795
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,43,0.080672,1670.258,1247.810
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,44,0.080320,1677.578,1253.278
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,45,0.080352,1676.910,1252.779
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,46,0.081952,1644.170,1228.320
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,47,0.080288,1678.246,1253.778
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,48,0.082688,1629.536,1217.387
cuda-attn-gdn-tma,gdn_decode_tma,large,4,64,256,256,64,1024,49,0.082304,1637.138,1223.067
